"apn","pstreet_addr","pcity","pstate","pzip","plon","plat","pminx","pminy","pmaxx","pmaxy","planduse","pfull_address","parcel_dir"
"06704501060000","11779 JUSTINIAN DR","Rancho Cordova","CA",95742,-121.239074818,38.5395798342,-121.239172997,38.5394218359,-121.23897664,38.5397378326,NA,"11779 JUSTINIAN DR,Rancho Cordova,CA,95742",6067
"7480025008","361 Marilla Ave",NA,"CA",90704,-118.331822208,33.3438585523,-118.331960527,33.3437591312,-118.331676478,33.3439594924,"0100","361 Marilla Ave,NA,CA,90704",6037
"145061052","7980 GALWAY CT","Riverside","CA",92503,-117.460317755,33.9304354895,-117.460473141,33.9302213873,-117.460180375,33.9305875903,NA,"7980 GALWAY CT,Riverside,CA,92503",6065
"8291036064","3253 White Cloud Dr",NA,"CA",91745,-117.976610718,33.979786239,-117.976759959,33.979608701,-117.976458141,33.9799496395,"0100","3253 White Cloud Dr,NA,CA,91745",6037
"2841031037","18015 Marabou Pl","Canyon Cntry","CA",91387,-118.453179374,34.3993830978,-118.453345138,34.3992250645,-118.453013473,34.3995411059,"0100","18015 Marabou Pl,Canyon Cntry,CA,91387",6037
"2059044012","2625 Grandoaks Dr",NA,"CA",91361,-118.842094048,34.133625965,-118.842286395,34.1334617592,-118.841888371,34.1337848172,"010D","2625 Grandoaks Dr,NA,CA,91361",6037
"47711035","851 ROBERTS PL","San Jose","CA",95122,-121.858371208,37.3279842048,-121.858518723,37.3278687407,-121.858224063,37.3281092606,NA,"851 ROBERTS PL,San Jose,CA,95122",6085
"09812018","1560 BIG OAK RD","Placerville","CA",95667,-120.779120424,38.6740002753,-120.779832774,38.6733264452,-120.778559857,38.6751686124,"22","1560 BIG OAK RD,Placerville,CA,95667",6017
"4265015135","11849 Mayfield Ave","Los Angeles","CA",90049,-118.466680195,34.0497242663,-118.467042032,34.0494521343,-118.466310213,34.0499713762,"010E","11849 Mayfield Ave,Los Angeles,CA,90049",6037
"5275004137","345 Ridge Terrace Ln","Montebello","CA",90640,-118.094754979,34.0390663682,-118.095816885,34.0384207727,-118.093697386,34.0397635805,"010C","345 Ridge Terrace Ln,Montebello,CA,90640",6037
"1606217800","504 LEXINGTON CIR","Oceanside","CA",92057,-117.31078259,33.2214363487,-117.310950552,33.2212608648,-117.310601345,33.2216108422,NA,"504 LEXINGTON CIR,Oceanside,CA,92057",6073
"41420044","2926 UNION AVE","San Jose","CA",95124,-121.93112979,37.26874868,-121.931340221,37.2686581087,-121.930926015,37.2688458046,NA,"2926 UNION AVE,San Jose,CA,95124",6085
"0830068000","118 CARPENTER ST","Grass Valley","CA",95945,-121.069088256,39.2203595971,-121.069346475,39.2201441198,-121.068830327,39.2205729993,NA,"118 CARPENTER ST,Grass Valley,CA,95945",6057
"22704800010000","256 AMERICAN RIVER CANYON DR","Folsom","CA",95630,-121.190385634,38.7105869958,-121.190724241,38.7103265746,-121.190063302,38.7109280787,NA,"256 AMERICAN RIVER CANYON DR,Folsom,CA,95630",6067
"034441246","1910 18TH AVE","Delano","CA",93215,-119.229082304,35.77892628,-119.229169147,35.778778954,-119.22899546,35.7790736031,"0101","1910 18TH AVE,Delano,CA,93215",6029
"27102930030000","2525 LANDWOOD WAY","Carmichael","CA",95608,-121.352452042,38.6115874741,-121.352678193,38.6114745912,-121.352225802,38.6117003724,NA,"2525 LANDWOOD WAY,Carmichael,CA,95608",6067
