"apn","pstreet_addr","pcity","pstate","pzip","plon","plat","pminx","pminy","pmaxx","pmaxy","planduse","pfull_address","parcel_dir"
"4159008049","2218 Pullman Ln",NA,"CA",90278,-118.371067949,33.8640350867,-118.371150788,33.8638288015,-118.370985093,33.8642412618,"010C","2218 Pullman Ln,NA,CA,90278",6037
"2865034064","28158 Royal Rd","Castaic","CA",91384,-118.62959445,34.5002988374,-118.629817598,34.5001440911,-118.629347398,34.500465272,"0101","28158 Royal Rd,Castaic,CA,91384",6037
"3092321100","11428 SPICA DR","San Diego","CA",92126,-117.139125065,32.9326914258,-117.139291182,32.9326159782,-117.138960795,32.9327695149,NA,"11428 SPICA DR,San Diego,CA,92126",6073
"02224118","1920 MARCONI WAY","S Lake Tahoe","CA",96150,-120.017892681,38.9290532655,-120.018126505,38.9288544934,-120.017610174,38.9293335719,"11","1920 MARCONI WAY,S Lake Tahoe,CA,96150",6017
"4224091","1050 MISSISSIPPI ST","San Francisco","CA",94107,-122.39399529,37.7531402697,-122.394171107,37.7530960766,-122.393819474,37.7531844628,NA,"1050 MISSISSIPPI ST,San Francisco,CA,94107",6075
"105121009","3700 MERRIDAN DR","Concord","CA",94518,-122.011059074,37.9658599399,-122.01128656,37.9656704906,-122.010837191,37.9660260266,NA,"3700 MERRIDAN DR,Concord,CA,94518",6013
"3182840100","8857 CASSIOEPIA WAY","San Diego","CA",92126,-117.132968927,32.9276060219,-117.133053473,32.92746365,-117.132883983,32.9277463575,NA,"8857 CASSIOEPIA WAY,San Diego,CA,92126",6073
"031-351-013","516 E Gutierrez St","Santa Barbara","CA",93103,-119.687740291,34.4214406699,-119.688001643,34.4212366988,-119.687479089,34.4216445521,"1100","516 E Gutierrez St,Santa Barbara,CA,93103",6083
"2070332115","1525 N 5TH PL","Port Hueneme","CA",93041,-119.193797196,34.1632290719,-119.193979779,34.1631514598,-119.193614617,34.1633066833,NA,"1525 N 5TH PL,Port Hueneme,CA,93041",6111
"3004020038","632 W Avenue Q12","City Ranch","CA",93551,-118.141830555,34.5762684617,-118.141947104,34.5761131358,-118.14171363,34.5764242508,"0100","632 W Avenue Q12,City Ranch,CA,93551",6037
"413 005903700","57 SHASTA ST","Hayward","CA",94541,-122.115739827,37.6818394224,-122.115921596,37.6816997235,-122.115551395,37.681985164,"1100","57 SHASTA ST,Hayward,CA,94541",6001
"5072027015","1550 4th Ave","Los Angeles","CA",90019,-118.320882849,34.0439166416,-118.321114195,34.0438471941,-118.320651504,34.0439860891,"0100","1550 4th Ave,Los Angeles,CA,90019",6037
"56013708","14 W SCANDIA LN","CLOVIS","CA",93619,-119.711821167,36.8624541274,-119.711907054,36.8623628683,-119.711734667,36.8625460574,"11","14 W SCANDIA LN,CLOVIS,CA,93619",6019
"2451025009","367 W Cedar Ave","Burbank","CA",91506,-118.312842301,34.167493843,-118.313084866,34.1672868438,-118.312582719,34.1677059918,"0100","367 W Cedar Ave,Burbank,CA,91506",6037
"130070011","3643 NORTHRIDGE DR","Concord","CA",94518,-122.018167802,37.9594522976,-122.018559955,37.9592280466,-122.017702103,37.9597366738,NA,"3643 NORTHRIDGE DR,Concord,CA,94518",6013
"8159003017","9951 Mills Ave","Whittier","CA",90604,-118.027416282,33.943475593,-118.028184178,33.9430660086,-118.026628537,33.9439188156,"7100","9951 Mills Ave,Whittier,CA,90604",6037
"438110016","41849 STATE HIGHWAY 74","Hemet","CA",92544,-116.931710203,33.747023328,-116.932441884,33.7464483553,-116.931293762,33.7476152039,NA,"41849 STATE HIGHWAY 74,Hemet,CA,92544",6065
"5524039026","361 N Citrus Ave","Los Angeles","CA",90036,-118.340019189,34.0781117545,-118.340239228,34.0780172953,-118.339793112,34.0782082505,"0100","361 N Citrus Ave,Los Angeles,CA,90036",6037
"035-440-028","730 PLACER CT","Santa Rosa","CA",95401,-122.768277796,38.4409942766,-122.768404487,38.4408781614,-122.768087103,38.4411667303,NA,"730 PLACER CT,Santa Rosa,CA,95401",6097
"5348021011","105 E Valley Blvd",NA,"CA",91801,-118.121591521,34.078976798,-118.12181453,34.0787733225,-118.121367465,34.079182262,"2300","105 E Valley Blvd,NA,CA,91801",6037
"005-082-002","808 MAPLE DR","Petaluma","CA",94954,-122.61822344,38.2377604294,-122.618407391,38.2376048597,-122.618039342,38.2379160089,NA,"808 MAPLE DR,Petaluma,CA,94954",6097
"5447025035","228 S Avenue 18","Lincoln Heights","CA",90031,-118.221512265,34.070861883,-118.221847199,34.0706093203,-118.22117733,34.0711144346,"010C","228 S Avenue 18,Lincoln Heights,CA,90031",6037
"035507406","782 EVERGREEN RD",NA,NA,92397,-117.644854968,34.3639822832,-117.645015986,34.3638238544,-117.644693949,34.3641407119,"510","782 EVERGREEN RD,NA,NA,92397",6071
"58001022","12885 AUBERRY RD","CLOVIS","CA",93619,-119.718235971,36.9202349052,-119.719447042,36.9193117075,-119.717034015,36.9211501648,"72","12885 AUBERRY RD,CLOVIS,CA,93619",6019
"4853410400","8796 DALLAS ST","La Mesa","CA",91942,-117.007692755,32.7911330312,-117.007786508,32.790967363,-117.007600582,32.791299876,NA,"8796 DALLAS ST,La Mesa,CA,91942",6073
"5351900500","1940 MARKET ST","San Diego","CA",92102,-117.14605533,32.7118005258,-117.146168886,32.7116748082,-117.14593808,32.7119283636,NA,"1940 MARKET ST,San Diego,CA,92102",6073
"4038002006","5138 W Century Blvd","Inglewood","CA",90304,-118.36915056,33.9450996198,-118.369269777,33.9449416919,-118.369031596,33.9452577375,"2200","5138 W Century Blvd,Inglewood,CA,90304",6037
"047-191-49","204 EVERGREEN AVE","Mill Valley","CA",94941,-122.539550181,37.8956380915,-122.539682334,37.8954425174,-122.539419123,37.8958333247,"11","204 EVERGREEN AVE,Mill Valley,CA,94941",6041
"026705110","2259 W 2ND AVE","Arrowhead Farms","CA",92407,-117.346806895,34.1628007969,-117.346942513,34.1625122039,-117.346671276,34.16308939,"510","2259 W 2ND AVE,Arrowhead Farms,CA,92407",6071
"052111004","2817 HONEYSUCKLE CIR","Antioch","CA",94531,-121.776593967,37.993132471,-121.776800586,37.9929568183,-121.776345059,37.9932841006,NA,"2817 HONEYSUCKLE CIR,Antioch,CA,94531",6013
"042608234","29191 ARROWHEAD AVE","Barstow","CA",92311,-117.025746637,34.912868718,-117.025947962,34.9123463621,-117.025545483,34.9133912864,"601","29191 ARROWHEAD AVE,Barstow,CA,92311",6071
"2140121023","6400 SURFSIDE LN","Carlsbad","CA",92011,-117.321819747,33.1124025043,-117.321901888,33.1123371215,-117.321737607,33.1124678871,NA,"6400 SURFSIDE LN,Carlsbad,CA,92011",6073
"6037004002","8906 La Salle Ave","Los Angeles","CA",90047,-118.305417028,33.9560616263,-118.305639644,33.9559916175,-118.305194397,33.9561316215,"0100","8906 La Salle Ave,Los Angeles,CA,90047",6037
"076 030802900","943 HELEN AVE","San Leandro","CA",94577,-122.146743507,37.7370368568,-122.146816534,37.73681991,-122.146671011,37.7372596836,"1100","943 HELEN AVE,San Leandro,CA,94577",6001
"8444009010","345 S Citrus Ave",NA,"CA",91723,-117.890713887,34.0832782007,-117.891119323,34.0827716957,-117.890307746,34.0837838472,"2600","345 S Citrus Ave,NA,CA,91723",6037
"6217023018","9514 Hunt Ave","South Gate","CA",90280,-118.191551532,33.9469014713,-118.191776466,33.9468067309,-118.191326228,33.9469961532,"0100","9514 Hunt Ave,South Gate,CA,90280",6037
"2162006053","17914 Magnolia Blvd","Encino","CA",91316,-118.522729921,34.1650836837,-118.5233473,34.1648494672,-118.522118798,34.1652870714,"010C","17914 Magnolia Blvd,Encino,CA,91316",6037
